networkType,trainAcc,trainTime (s),testAcc,layers,epochs,activations,optim,learning_rate,reg_param,dropout_prob,normTech,misc
deepNN,0.8975208333333333,52.946338000000026,0.8903,50-25-25-25,50,sigmoid,sgd,0.007728312245018494,0,0.33683640480925486,nan,nan
deepNN,0.5819375,274.24461799999995,0.5863,50-25-25-25,50,sigmoid,adadelta,0.009619675054478541,0,0.07523142642179126,nan,nan
deepNN,0.8343541666666666,138.40911199999982,0.8381,50-25-25-25,50,sigmoid,adagrad,0.008990080461596828,0,0.2525614173725405,nan,nan
deepNN,0.9123541666666667,46.3702310000001,0.9039,50-25-25-25,50,relu,sgd,0.003349303722869006,0,0.2531455193118344,nan,nan
deepNN,0.71725,280.1353650000001,0.7206,50-25-25-25,50,relu,adadelta,0.005182392250112108,0,0.20450916391295113,nan,nan
deepNN,0.9495,67.74231099999997,0.9436,50-25-25-25,50,relu,adagrad,0.0071618950841069815,0,0.07132673210397555,nan,nan
deepNN,0.9554583333333333,28.508818000000247,0.9447,50-25-25-25,50,tanh,sgd,0.007581633497526278,0,0.005817637489867966,nan,nan
deepNN,0.8997916666666667,261.44328799999994,0.9,50-25-25-25,50,tanh,adadelta,0.005280029025178978,0,0.04096914599457317,nan,nan
deepNN,0.9606458333333333,119.37544100000014,0.9543,50-25-25-25,50,tanh,adagrad,0.0042211494131818615,0,0.016826862937933694,nan,nan
deepNN,0.8955625,127.97362500000008,0.8876,1000-500-500-500,50,sigmoid,sgd,0.009622999375328796,0,0.47946977882086544,nan,nan
deepNN,0.8709375,393.96555399999943,0.8748,1000-500-500-500,50,sigmoid,adadelta,0.01721889965626888,0,0.3489574116486873,nan,nan
deepNN,0.9716875,200.19430600000032,0.965,1000-500-500-500,50,sigmoid,adagrad,0.005531380344162068,0,0.1435088768503553,nan,nan
deepNN,0.9670625,33.903110999999626,0.9598,1000-500-500-500,50,relu,sgd,0.009032061995815155,0,0.013524028301884239,nan,nan
deepNN,0.9414166666666667,401.623071,0.9396,1000-500-500-500,50,relu,adadelta,0.003525041530230397,0,0.19160343282620323,nan,nan
deepNN,0.993625,69.41415599999982,0.9761,1000-500-500-500,50,relu,adagrad,0.014893253441958975,0,0.3147922221924841,nan,nan
deepNN,0.918125,27.21535700000004,0.9119,1000-500-500-500,50,tanh,sgd,0.00401733556585044,0,0.14523443527450333,nan,nan
deepNN,0.9660625,397.1301569999996,0.9606,1000-500-500-500,50,tanh,adadelta,0.007354368898767703,0,0.07725158886295329,nan,nan
deepNN,0.99925,89.52860900000087,0.9791,1000-500-500-500,50,tanh,adagrad,0.009503270659863335,0,0.031815017630331184,nan,nan
simpleNN,0.9608125,34.997603000000005,0.9476,50,50,sigmoid,sgd,0.007865678629344364,0,0.23352223144198117,nan,nan
simpleNN,0.9006041666666667,209.66391800000002,0.9036,50,50,sigmoid,adadelta,0.021241989810864816,0,0.11041338852276321,nan,nan
simpleNN,0.9312708333333334,96.8583460000001,0.9292,50,50,sigmoid,adagrad,0.011600619719137471,0,0.22508927969862225,nan,nan
simpleNN,0.980875,32.12301300000013,0.961,50,50,relu,sgd,0.009014974891953879,0,0.00962091567125296,nan,nan
simpleNN,0.9250833333333334,187.663996,0.9243,50,50,relu,adadelta,0.028072133379172387,0,0.21073563505445317,nan,nan
simpleNN,0.9779375,65.78068499999995,0.9648,50,50,relu,adagrad,0.02624690959812982,0,0.037189905526908616,nan,nan
simpleNN,0.95275,47.36507400000005,0.9411,50,50,tanh,sgd,0.009663659991058098,0,0.15050888538980933,nan,nan
simpleNN,0.9238541666666666,202.20634700000028,0.9243,50,50,tanh,adadelta,0.019480832263216546,0,0.15930892039442981,nan,nan
simpleNN,0.963875,91.17590599999994,0.9535,50,50,tanh,adagrad,0.01692683598439448,0,0.14694164286095615,nan,nan
simpleNN,0.9897083333333333,30.119568999999956,0.9723,200,50,sigmoid,sgd,0.008675581890850523,0,0.039978652634317546,nan,nan
simpleNN,0.926625,210.57791300000008,0.9252,200,50,sigmoid,adadelta,0.04688155126414905,0,0.2746651597984689,nan,nan
simpleNN,0.9811458333333334,131.7084930000001,0.9704,200,50,sigmoid,adagrad,0.01891624927227838,0,0.10143317974319888,nan,nan
simpleNN,0.9579791666666667,23.45826100000022,0.9478,200,50,relu,sgd,0.00884157673768014,0,0.24456123984639866,nan,nan
simpleNN,0.9726875,184.2676220000003,0.9639,200,50,relu,adadelta,0.04968567324878153,0,0.08982128743719425,nan,nan
simpleNN,0.9987083333333333,82.00677799999994,0.9794,200,50,relu,adagrad,0.021706074501307696,0,0.0027804509491320406,nan,nan
