networkType,trainAcc,trainTime (s),testAcc,layers,epochs,activations,optim,learning_rate,reg_param,dropout_prob,normTech,misc
logisticRegression,0.31415,8.412281,0.3077,nan,50,softmax,adagrad,0.012521168,0,nan,nan,nan
logisticRegression,0.31865,30.498545,0.3147,nan,50,softmax,adadelta,0.007105118,0,nan,nan,nan
logisticRegression,0.218925,5.114744,0.2151,nan,50,softmax,rmsprop,0.003709484,0,nan,nan,nan
logisticRegression,0.3625,4.221944,0.3549,nan,50,softmax,adam,0.004552462,0,nan,nan,nan
logisticRegression,0.258025,2.448996,0.2499,nan,50,softmax,nadam,0.005123033,0,nan,nan,nan
simpleCNN,0.590625,66.808673,0.5411,nan,200,relu,adam,0.004195951,0,0.541363632,nan,nan
simpleCNN,0.676175,59.332155,0.6038,nan,200,relu,rmsprop,0.002978068,0,0.432042191,nan,nan
simpleCNN,0.12985,22.75364,0.1305,nan,200,sigmoid,adam,0.004474192,0,0.038564155,nan,nan
simpleCNN,0.1515,28.660981,0.1532,nan,200,sigmoid,rmsprop,0.003098052,0,0.404622949,nan,nan
simpleCNN,0.46715,70.789448,0.4277,nan,200,tanh,adam,0.007221643,0,0.233960529,nan,nan
simpleCNN,0.338875,17.212508,0.3236,nan,200,tanh,rmsprop,0.004777536,0,0.008589117,nan,nan
deepCNN,0.72935,108.255273,0.6862,512-128,200,relu,rmsprop,0.000831209,nan,0.308497043,nan,nan
deepCNN,0.605,106.321745,0.5578,1024-512,200,relu,rmsprop,0.002206752,nan,0.317671133,nan,nan
deepCNN,0.36015,53.93015,0.3596,4096-2048,200,relu,rmsprop,0.000637407,nan,0.344548913,nan,nan
deepCNN,0.82345,174.39247,0.727,512-128,200,relu,adam,0.002181031,nan,0.335835531,nan,nan
deepCNN,0.572825,81.613067,0.5463,1024-512,200,relu,adam,0.001724446,nan,0.303848839,nan,nan
deepCNN,0.394725,57.9062,0.3934,4096-2048,200,relu,adam,0.000609565,nan,0.264574118,nan,nan
deepCNN,0.821825,130.668939,0.7236,512-128,200,tanh,rmsprop,0.00107294,nan,0.227010955,nan,nan
deepCNN,0.7879,100.808334,0.7054,1024-512,200,tanh,rmsprop,0.001090274,nan,0.232500239,nan,nan
deepCNN,0.731925,277.092485,0.6367,4096-2048,200,tanh,rmsprop,0.000390776,nan,0.339021953,nan,nan
deepCNN,0.830675,129.214671,0.725,512-128,200,tanh,adam,0.001977344,nan,0.271415286,nan,nan
deepCNN,0.615675,107.094035,0.5844,1024-512,200,tanh,adam,0.002295975,nan,0.497522396,nan,nan
VGG,0.8221,119.16929,0.7623,nan,25,relu,rmsprop,0.001590645,nan,0.205474367,nan,nan
VGG,0.83235,203.996223,0.7642,nan,200,relu,rmsprop,0.001991796,nan,0.311089112,nan,nan
VGG,0.8007,233.410083,0.7474,nan,50,relu,rmsprop,0.0007021,nan,0.290494867,nan,32
VGG,0.864375,196.658036,0.7868,nan,50,relu,rmsprop,0.001616134,nan,0.271489579,nan,64
VGG,0.804025,222.012115,0.7351,nan,50,relu,rmsprop,0.001013785,nan,0.465692441,nan,32
VGG,0.876775,166.07778,0.7691,nan,50,relu,rmsprop,0.001968835,nan,0.252095632,nan,64
VGG,0.8085,283.771374,0.7368,nan,50,relu,rmsprop,0.000525406,nan,0.416822061,nan,32
VGG,0.82395,230.59919,0.7552,nan,50,relu,rmsprop,0.000893061,nan,0.425418774,nan,64
VGG,0.847875,244.67929,0.7793,3-1024,50,relu,rmsprop,0.001027341,nan,0.319025947,nan,64
VGG,0.1627,367.537869,0.1638,3-1024,50,relu,adadelta,0.000407148,nan,0.262047786,nan,64
VGG,0.855225,634.297548,0.7888,3-1024,50,relu,rmsprop,0.000466635,nan,0.443227662,nan,128
VGG,0.2674,1122.177484,0.2707,3-1024,50,relu,adadelta,0.00162333,nan,0.41203062,nan,128
